"run_id","source_file","curation_status","scenario_id","treatment","treatment_pair_id","repetition"
"phase05_20260508_235528_1fd2fb58","data/logs/phase05_experiments/raw/phase05_20260508_235528_1fd2fb58_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R10","10"
"phase05_20260509_000310_08ba7fc5","data/logs/phase05_experiments/raw/phase05_20260509_000310_08ba7fc5_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R01","1"
"phase05_20260509_000451_0b969adf","data/logs/phase05_experiments/raw/phase05_20260509_000451_0b969adf_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R01","1"
"phase05_20260509_000701_eb58d52f","data/logs/phase05_experiments/raw/phase05_20260509_000701_eb58d52f_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R02","2"
"phase05_20260509_000902_46f50524","data/logs/phase05_experiments/raw/phase05_20260509_000902_46f50524_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R02","2"
"phase05_20260509_001055_cdf6de44","data/logs/phase05_experiments/raw/phase05_20260509_001055_cdf6de44_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R03","3"
"phase05_20260509_001242_70bda245","data/logs/phase05_experiments/raw/phase05_20260509_001242_70bda245_mavlink_visual_servo.csv","superseded","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R03","3"
"phase05_20260509_001502_30366ed5","data/logs/phase05_experiments/raw/phase05_20260509_001502_30366ed5_mavlink_visual_servo.csv","superseded","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R04","4"
"phase05_20260509_001816_20a45b99","data/logs/phase05_experiments/raw/phase05_20260509_001816_20a45b99_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R04","4"
"phase05_20260509_002035_66a0dbb4","data/logs/phase05_experiments/raw/phase05_20260509_002035_66a0dbb4_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R04","4"
"phase05_20260509_003307_468906cb","data/logs/phase05_experiments/raw/phase05_20260509_003307_468906cb_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R03","3"
"phase05_20260509_004101_41d9cbae","data/logs/phase05_experiments/raw/phase05_20260509_004101_41d9cbae_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R05","5"
"phase05_20260509_004244_9f022853","data/logs/phase05_experiments/raw/phase05_20260509_004244_9f022853_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R05","5"
"phase05_20260509_004447_9d806e29","data/logs/phase05_experiments/raw/phase05_20260509_004447_9d806e29_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R06","6"
"phase05_20260509_004647_e3423cd3","data/logs/phase05_experiments/raw/phase05_20260509_004647_e3423cd3_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R06","6"
"phase05_20260509_005615_8743cfbe","data/logs/phase05_experiments/raw/phase05_20260509_005615_8743cfbe_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R07","7"
"phase05_20260509_005801_2841af18","data/logs/phase05_experiments/raw/phase05_20260509_005801_2841af18_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R07","7"
"phase05_20260509_010004_a268301d","data/logs/phase05_experiments/raw/phase05_20260509_010004_a268301d_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R08","8"
"phase05_20260509_010204_ea0ffbac","data/logs/phase05_experiments/raw/phase05_20260509_010204_ea0ffbac_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R08","8"
"phase05_20260509_011118_927e3e09","data/logs/phase05_experiments/raw/phase05_20260509_011118_927e3e09_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R09","9"
"phase05_20260509_011302_debefdda","data/logs/phase05_experiments/raw/phase05_20260509_011302_debefdda_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R09","9"
"phase05_20260509_011530_f3221898","data/logs/phase05_experiments/raw/phase05_20260509_011530_f3221898_mavlink_visual_servo.csv","accepted","P05_S03_H2_Y08_YAW0","T1","P05_S03_H2_Y08_YAW0_R10","10"
"phase05_20260509_011732_05fe4345","data/logs/phase05_experiments/raw/phase05_20260509_011732_05fe4345_baseline_descent.csv","accepted","P05_S03_H2_Y08_YAW0","T0","P05_S03_H2_Y08_YAW0_R10","10"
"phase05_20260509_211541_7721a9cb","data/logs/phase05_experiments/raw/phase05_20260509_211541_7721a9cb_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R01","1"
"phase05_20260509_211844_6ec091cb","data/logs/phase05_experiments/raw/phase05_20260509_211844_6ec091cb_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R01","1"
"phase05_20260509_212043_98eea009","data/logs/phase05_experiments/raw/phase05_20260509_212043_98eea009_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R02","2"
"phase05_20260509_212246_507d9664","data/logs/phase05_experiments/raw/phase05_20260509_212246_507d9664_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R02","2"
"phase05_20260509_212437_424a9706","data/logs/phase05_experiments/raw/phase05_20260509_212437_424a9706_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R03","3"
"phase05_20260509_212628_e65318a0","data/logs/phase05_experiments/raw/phase05_20260509_212628_e65318a0_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R03","3"
"phase05_20260509_212824_d3037b9b","data/logs/phase05_experiments/raw/phase05_20260509_212824_d3037b9b_mavlink_visual_servo.csv","superseded","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R04","4"
"phase05_20260509_213059_1d49740f","data/logs/phase05_experiments/raw/phase05_20260509_213059_1d49740f_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R04","4"
"phase05_20260509_214330_4ae8d025","data/logs/phase05_experiments/raw/phase05_20260509_214330_4ae8d025_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R04","4"
